"name","description"
"原初の長刃・岩塊","未熟な共鳴者のために作られた長刃、地味な見た目のわりに侮れない戦闘力を秘めている。"
"原初の迅刀・雨鳴","未熟な共鳴者のために作られた迅刀。地味な見た目のわりに侮れない戦闘力を秘めている。"
"原初の拳銃・深森","未熟な共鳴者のために作られた拳銃。地味な見た目のわりに侮れない戦闘力を秘めている。"
"原初の手甲・磐石","未熟な共鳴者のために作られた手甲。地味な見た目のわりに侮れない戦闘力を秘めている。"
"原初の増幅器・波音","未熟な共鳴者のために作られた増幅器。地味な見た目のわりに侮れない戦闘力を秘めている。"
"稽古用長刃","訓練と学習のために使う長刃。最低限の機能しか備わってない。"
"稽古用迅刀","訓練と学習のために使う迅刀。最低限の機能しか備わってない。"
"稽古用拳銃","訓練と学習のために使う拳銃。最低限の機能しか備わってない。"
"稽古用手甲","訓練と学習のために使う手甲。最低限の機能しか備わってない。"
"稽古用増幅器","訓練と学習のために使う増幅器。最低限の機能しか備わってない。"
"本源長刃・試作壱","新型黒石武器を開発するため、華胥研究院が技術テスト用に作った試作品。強い性能以外に、攻撃行為により共鳴者の身体能力を向上し、傷を癒す効果を持つ。"
"本源迅刀・試作弐","新型黒石武器を開発するため、華胥研究院が技術テスト用に作った試作品。強い性能以外に、攻撃行為により共鳴者の身体能力を向上し、傷を癒す効果を持つ。"
"本源増幅器・試作伍","新型黒石武器を開発するため、華胥研究院が技術テスト用に作った試作品。強い性能以外に、攻撃行為により共鳴者の身体能力を向上し、傷を癒す効果を持つ。"
"重破刃＃41","華胥研究院が源流シリーズを元に改造し作成した、実用的な高性能長刃。何物にも破られない、理性と包容の結晶。"
"瞬斬刀＃18","華胥研究院が源流シリーズを元に改造し作成した、実用的な高性能迅刀。研究院の誇りある過去を象徴している。"
"鳴動機＃25","華胥研究院が源流シリーズを元に改造し作成した、実用的な高性能増幅器、科学技術の多様性とイノベーションに取り掛かる姿勢を語っている。"
"長夜の灯火","夜帰の戦士たちの、万事に備える心構えに応えて、夜帰のために鍛え上げた武器。"
"決死の一人戦","夜帰の戦士たちの、いかなる敵にも挑む勇気に応えて、夜帰のために鍛え上げた武器。"
"燃え尽きぬ焔","夜帰の戦士たちの、身を挺する尽力に応えて、夜帰のために鍛え上げた武器。"
"金鉄の志","夜帰の戦士たちの、同志との固い絆に応えて、夜帰のために鍛え上げた武器。"
"今州の衛士","夜帰が今州を守り抜いた歳月に応えて、夜帰のために鍛え上げた武器。"
"探索者長刃・開拓","先駆条約が支給する長刃。鮮やかな色が特徴で、硬度も高い。過酷な環境でも役に立つ良品である。とくに冒険者に愛用されている。"
"探索者迅刀・旅路","先駆条約が支給する迅刀。鮮やかな色が特徴で、硬度も高い。過酷な環境でも役に立つ良品である。とくに冒険者に愛用されている。"
"探索者増幅器・発見","先駆条約が支給する増幅器。鮮やかな色が特徴で、硬度も高い。過酷な環境でも役に立つ良品である。とくに冒険者に愛用されている。"
"辺守長刃・統率","辺守シリーズは、初代今州令尹が国境守護と城づくりを助けたある謎の人物を記念すべく、その指導に基づいて開発した武器シリーズである。今では、新型兵器の開発には欠かせない礎となっている。"
"辺守迅刀・鎮護","辺守シリーズは、初代今州令尹が国境守護と城づくりを助けたある謎の人物を記念すべく、その指導に基づいて開発した武器シリーズである。今では、新型兵器の開発には欠かせない礎となっている。"
"辺守拳銃・平定","辺守シリーズは、初代今州令尹が国境守護と城づくりを助けたある謎の人物を記念すべく、その指導に基づいて開発した武器シリーズである。今では、新型兵器の開発には欠かせない礎となっている。"
"辺守手甲・造設","辺守シリーズは、初代今州令尹が国境守護と城づくりを助けたある謎の人物を記念すべく、その指導に基づいて開発した武器シリーズである。今では、新型兵器の開発には欠かせない礎となっている。"
"辺守増幅器・伝承","辺守シリーズは、初代今州令尹が国境守護と城づくりを助けたある謎の人物を記念すべく、その指導に基づいて開発した武器シリーズである。今では、新型兵器の開発には欠かせない礎となっている。"
"逆行の星","空に発生する奇象で誕生した長刃。その鍛造者は星々を見た時に感じた情緒をそれと融合させたおかげで、軽やかな見た目に反して、実は隕石墜落如きの重さで敵を潰せる。"
"倒錯の星","空に発生する奇象で誕生した迅刀。その鍛造者は星々を見た時に感じた情緒をそれと融合させたおかげで、頼らない見た目に反して、実は鋼を紙のように削って行ける。"
"疾走の星","空に発生する奇象で誕生した拳銃。その鍛造者は星々を見た時に感じた情緒をそれと融合させたおかげで、軽やかな見た目に反して、実は安定性が高く、銃弾の雨を敵に降らせられる。"
"変化の星","空に発生する奇象で誕生した増幅器。その鍛造者は星々を見た時に感じた情緒をそれと融合させたおかげで、繊細でしなやかな見た目に反して、実はとても穏やかな品性を持っている。"
"本源拳銃・試作参","新型黒石武器を開発するため、華胥研究院が技術テスト用に作った試作品。強い性能以外に、攻撃行為により共鳴者の身体能力を向上し、傷を癒す効果を持つ。"
"本源手甲・試作肆","新型黒石武器を開発するため、華胥研究院が技術テスト用に作った試作品。強い性能以外に、攻撃行為により共鳴者の身体能力を向上し、傷を癒す効果を持つ。"
"穿撃銃＃26","華胥研究院が源流シリーズを元に改造し作成した、実用的な高性能拳銃。くじけない研鑽と緻密な思考の賜物である。"
"鋼影拳＃21・四番","華胥研究院が源流シリーズを元に改造し作成した、実用的な高性能手甲、人類への愛情と思いやりを象徴している。"
"秋の名残","この長刃は、瑝瓏のある州の令尹の着任式で使用された礼装であり、黄金の銀杏の葉の模様には銀杏のように瑝瓏が長らく繁栄を続けるという願いが込められている。"
"万象変遷","この迅刀は、瑝瓏のある州の令尹の着任式で使用された礼装であり、黄金の銀杏の葉の模様には銀杏のように瑝瓏が長らく繁栄を続けるという願いが込められている。"
"迸る雷霆","この拳銃は、瑝瓏のある州の令尹の着任式で使用された礼装であり、黄金の銀杏の葉の模様には銀杏のように瑝瓏が長らく繁栄を続けるという願いが込められている。"
"黄金の拳","この手甲は、瑝瓏のある州の令尹の着任式で使用された礼装であり、黄金の銀杏の葉の模様には銀杏のように瑝瓏が長らく繁栄を続けるという願いが込められている。"
"清らかな音","この増幅器は、瑝瓏のある州の令尹の着任式で使用された礼装であり、黄金の銀杏の葉の模様には銀杏のように瑝瓏が長らく繁栄を続けるという願いが込められている。"
"蒼鱗連峰","連なる山を棟に、途切れぬ川を刃に。自然が自ら生み出した傑作である。鞘から抜かれし際は、空を貫く龍の声と相まって、山も海も激変し、鬼神をも退ける。"
"糸繰りの奇術","金色の指が開くと、糸が翻る。天象を秘めたこの至高の作品に圧倒され、敵はただただ動けずにいる。千の雷霆が刻んだ傷は、永久に癒せない。"
"破滅に迫る赤方偏移","ブラックショアがベテラン戦闘員のために開発したプロトタイプ武器。ブレーザーの定めをモチーフに名付けられた長刃。「ブレーザー」とは特殊なクエーサーの一種で、その輝きはここだけに注がれている。たとえ百億光年離れていても、その痕跡は観測できる。"
"永遠を砕く重力崩壊","ブラックショアがベテラン戦闘員のために開発したプロトタイプ武器。ブレーザーの心臓をモチーフに名付けられた迅刀。「ブレーザー」とは特殊なクエーサーの一種で、その輝きはここだけに注がれている。たとえ百億光年離れていても、その痕跡は観測できる。"
"悖理を説く宇宙ジェット","ブラックショアがベテラン戦闘員のために開発したプロトタイプ武器。ブレーザーの固執をモチーフに名付けられた拳銃。「ブレーザー」とは特殊なクエーサーの一種で、その輝きはここだけに注がれている。たとえ百億光年離れていても、その痕跡は観測できる。"
"コアが溶融する降着円盤","ブラックショアがベテラン戦闘員のために開発したプロトタイプ武器。ブレーザーの罪業をモチーフに名付けられた増幅器。「ブレーザー」とは特殊なクエーサーの一種で、その輝きはここだけに注がれている。たとえ百億光年離れていても、その痕跡は観測できる。"
"驚異の星","空に発生する奇象で誕生した手甲。その鍛造者は星々を見た時に感じた情緒をそれと融合させたおかげで、軽やかな見た目に反して、実は防護性能に優れて、怪力で敵をねじ伏せられる。"
"探索者拳銃・洞察","先駆条約が支給する拳銃。鮮やかな色が特徴で、硬度も高い。過酷な環境でも役に立つ良品である。とくに冒険者に愛用されている。"
"探索者手甲・排除","先駆条約が支給する手甲。鮮やかな色が特徴で、硬度も高い。過酷な環境でも役に立つ良品である。とくに冒険者に愛用されている。"
"歳華調和","刃が翻る時、流転する万象が垣間見える。すべてはこの剣に宿り、やがて万物は一に帰す。その流麗で温かな剣気は、千年の氷塊を溶かし、止まった時さえも動かす。"
"赫く燃ゆる流光","伝説の霊鳥の心血と羽根で鋳造された武具。盤上の碁石を自由に動かし、万象に宿る熱を自在に操る。矛先に赫く離火に触れた諸悪は、跡形もなく塵と化す。"
"天上の仙楽","「角」が剥がれ落ちた龍鱗から作られたと言われている、剣よりもむしろ楽器に見える。"
"氷華の雅印","この玉印は絵巻に命を宿された数多なる奇峰と林野を見届けてきた。上に付く花の枝が、まるでこれから生まれる深遠な画境に届かんばかりに伸びている。"
"万端の枢機","稷廷の技術の残り香を用いて作られた傑作。軽いながらも隙間なく精巧に仕上がっており、金鉄と相打ちになっても傷まない硬さを誇る。武力を誇示するためや他を侵すためではなく、難題を解く、そして未知を明かすためにこの手甲はある。"
"星々のコンチェルト","エナジー渦巻くこのコアは、星々の進化と終末のサイクルを模倣している。無限は特異点を操り、吸い込まれた星団を引き裂くが、何度も破滅と再生が繰り返された終焉にはまた止まる所を知らない反響が聞こえてくる——それは新たな星の誕生を告げる産声だ。"
"星屑が捩れる渦巻腕","ブラックショアがベテラン戦闘員のために開発したプロトタイプ武器。ブレーザーの憐れみをモチーフに名付けられた手甲。「ブレーザー」とは特殊なクエーサーの一種で、その輝きはここだけに注がれている。たとえ百億光年離れていても、その痕跡は観測できる。"
"心の錨","かつて白きゲートキーパーが心の集域を安定させるために使用していたアンカー。
白きゲートキーパーが白猫の姿に変化した後、この装置の外観もいくらか変わったようだ……"
"春裁ち","静かに育つツバキの種。彼女は約束通りに咲いた無限世界を手のひらに乗せ、小さな赤い蔓を指先に絡ませた。
砂を心臓にすり合わせているかのようなかすかな痛み、それこそが互いの出会った証となった。"
